setting,analysis_scope,protocol,dataset,left,right,metric,delta_left_minus_right,ci95_lower,ci95_upper,n_question_clusters,replicates,seed,aggregation,multiplicity
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,NoContextRewards,native_row_MAE,0.0037070259292234613,-0.0040513753709918495,0.011471886463812997,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,NoSimilarity,native_row_MAE,-0.036893410679745914,-0.04808935237040326,-0.025403720195091756,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,ContextResidual_ConstantGate,native_row_MAE,0.0,0.0,0.0,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,ContextResidual_Ungated,native_row_MAE,-0.03335833355844946,-0.06021547696840516,-0.006415149394416985,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,context::ShuffledSupportScores_NegativeControl,native_row_MAE,-0.001383989927437497,-0.007710172637946919,0.004926081702744574,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,aux_agent_median,native_row_MAE,-0.49389079156360255,-0.5733969085271139,-0.41024526142072854,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,counselbench,GatedContextResidualStack_Selected,legacy_dm_bge_m3_learned,native_row_MAE,-0.06380980306645678,-0.09753026991373513,-0.028944744733534932,100,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,NoContextRewards,native_row_MAE,-0.08966404181531165,-0.10125497996755416,-0.07867075799834475,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,NoSimilarity,native_row_MAE,-0.006567746893048612,-0.009242999388130392,-0.003555048773523569,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,ContextResidual_ConstantGate,native_row_MAE,0.0,0.0,0.0,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,ContextResidual_Ungated,native_row_MAE,0.0,0.0,0.0,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,context::ShuffledSupportScores_NegativeControl,native_row_MAE,-0.09366822532786852,-0.10568438194863829,-0.08259402882307158,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,aux_agent_median,native_row_MAE,0.014926807369647532,0.004639448187457904,0.02416910385658251,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
Historical-LOAO,retrospective exploratory study,B_historical_all_LOAO,rwanda,GatedContextResidualStack_Selected,legacy_dm_bge_m3_learned,native_row_MAE,-0.09265933427155112,-0.10406609175476543,-0.08138616216783869,506,2000,20260717,per_question_absolute_errors_seed_mean_then_equal_fixed_responder_mean,unadjusted exploratory 95% intervals; no simultaneous coverage
