setting,analysis_scope,a,b,delta,metric,panel,ci95_low,ci95_high,bonferroni72_low,bonferroni72_high,scenario_bonferroni72_low,scenario_bonferroni72_high,bootstrap_reps,inference
Diagnostic-4P,retrospective fixed-responder diagnostic,D,A,-0.0023529805636708957,nSAE,counselbench,-0.0056271674277014174,0.005606976109692896,-0.008086072241239311,0.008957016872642819,-0.008086072241239311,0.008957016872642819,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_A,DM,0.002892478425255335,nRMSE,counselbench,-0.017720404348861723,0.022955012214478238,-0.03338303327093731,0.036303144057381075,-0.03338303327093731,0.036303144057381075,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_Context,DM,0.006007981939787493,nRMSE,counselbench,-0.017175402455957174,0.028240343230344436,-0.03519189754853877,0.043246651379148,-0.03519189754853877,0.043246651379148,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,D,A,0.00026194297361163514,nSAE,psycsumeval,-0.0020684092506613218,0.001047463123441223,-0.003409757785224934,0.002054748092476399,-0.003409757785224934,0.002054748092476399,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_A,DM,-0.01846984984199332,nRMSE,psycsumeval,-0.03595618170765241,0.0010378008370532951,-0.04765026671541353,0.01549235146518042,-0.04765026671541353,0.01549235146518042,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_Context,DM,-0.01866506592843803,nRMSE,psycsumeval,-0.03502897595334591,-0.00033611854226749707,-0.04607100157715213,0.013918331930638832,-0.04607100157715213,0.013918331930638832,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,D,A,0.0,nSAE,rwanda,0.0,0.0,0.0,0.0,0.0,0.0,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_A,DM,-0.014705723612341653,nRMSE,rwanda,-0.020448654702388006,-0.009498874744104442,-0.024605795885983887,-0.006113081387499567,-0.024605795885983887,-0.006113081387499567,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_Context,DM,-0.01499955488626703,nRMSE,rwanda,-0.020313186058460487,-0.010142856303180863,-0.024036033675234658,-0.006861623676642007,-0.024036033675234658,-0.006861623676642007,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,D,A,0.006892756095533713,nSAE,warmth_substance,0.004681756801450267,0.009101735263828306,-0.003718125131209225,0.010825471218836655,0.0014245136348949622,0.01277969645056571,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_A,DM,-0.018526571177556322,nRMSE,warmth_substance,-0.02857190038178902,-0.007709965771632996,-0.03549177632763479,0.0001843389044995853,-0.03256608254021278,-0.0011411596595688456,200000,archived bootstrap recomputes batch DM mean and box projection each draw
Diagnostic-4P,retrospective fixed-responder diagnostic,P_Context,DM,-0.017700478825162375,nRMSE,warmth_substance,-0.025576220835172116,-0.009105693264680534,-0.030914886922169406,-0.0025223487757192204,-0.029289139707071622,-0.003957243906109397,200000,archived bootstrap recomputes batch DM mean and box projection each draw
