setting,analysis_scope,panel,method,nSAE,nMAE,nRMSE,normalized_bias,centered_error_sd,predicted_mean_unit,true_mean_unit,boundary_fraction,n_seeds
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,DM,0.06547215626923181,0.16183349962001467,0.20334411247048867,-0.06547215626923181,0.19164980634913534,0.49852784373076825,0.564,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,Context,0.04053061986584166,0.16145122441675472,0.2021481644212946,0.04053061986584166,0.1976315690322442,0.6045306198658417,0.564,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,A,0.022717913705307055,0.15614349418296405,0.19603260159108313,0.004456209594390504,0.19424505846122297,0.5684562095943905,0.564,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,P_A,0.06547215626923182,0.16291640219275733,0.206236590895744,-0.06547215626923182,0.194245058461223,0.4985278437307681,0.564,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,P_Context,0.06547215626923199,0.164865103379119,0.20935209441027616,-0.06547215626923199,0.1976315690322442,0.4985278437307681,0.564,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,DM,0.05588057084598411,0.18922844329386437,0.2517437336430702,-0.05588057084598411,0.24539907766677369,0.7909662760008628,0.8468468468468467,0.08408408408408408,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,Context,0.013390688203165135,0.19488282659441789,0.2266754558376941,0.013390688203165135,0.22623502363644357,0.8602375350500119,0.8468468468468467,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,A,0.010381522014034129,0.20021267810208454,0.2267154855847698,0.010381522014034129,0.2264372202048528,0.8572283688608809,0.8468468468468467,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,P_A,0.05588057084598408,0.22588177713794752,0.23327388380107686,-0.05588057084598408,0.2264372202048528,0.7909662760008628,0.8468468468468467,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,P_Context,0.05588057084598408,0.22171763865850272,0.23307866771463215,-0.05588057084598408,0.22623502363644357,0.7909662760008628,0.8468468468468467,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,DM,0.0031343119439266862,0.100356506063072,0.14396102452490564,-0.0031343119439266862,0.1439122641099402,0.8711245813367056,0.8742588932806324,0.0006587615283267456,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,Context,0.02852004231748444,0.07376549733852211,0.13202522415297335,0.02852004231748444,0.12890624496052827,0.9027789355981168,0.8742588932806324,0.14492753623188406,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,A,0.009801640170268985,0.07752983782437545,0.1295734089846784,0.009801640170268985,0.12920022034079628,0.8840605334509014,0.8742588932806324,0.035573122529644265,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,P_A,0.0031343119439261216,0.08219312618016227,0.129255300912564,-0.0031343119439261216,0.12920022034079628,0.8711245813367062,0.8742588932806324,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,P_Context,0.003134311943926651,0.08392803245888351,0.1289614696386386,-0.003134311943926651,0.12890624496052827,0.8711245813367058,0.8742588932806324,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,DM,0.05454566833390112,0.19499858087946018,0.25242452545816607,-0.05454566833390112,0.2464534311032797,0.6508114745232417,0.7053571428571429,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,Context,0.0552616903373899,0.18355424042924554,0.23492412084779649,-0.0552616903373899,0.22829347971690106,0.650095452519753,0.7053571428571429,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,A,0.054953224018872295,0.18457500388558265,0.23402819319260768,-0.054953224018872295,0.22744614169014923,0.6504039188382705,0.7053571428571429,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,P_A,0.05454566833390112,0.18446981047223465,0.23389795428060975,-0.05454566833390112,0.22744614169014923,0.6508114745232417,0.7053571428571429,0.0,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,P_Context,0.054545668333901086,0.18325799828796704,0.2347240466330037,-0.054545668333901086,0.22829347971690106,0.6508114745232416,0.7053571428571429,0.0,3
