setting,analysis_scope,dataset,task,seed,config_id,gate_kind,lambda,selection_metric
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gemini_out,0,ridge_a001__gate_constant_050,constant,0.5,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gemini_out,1,ridge_a001__gate_constant_025,constant,0.25,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gemini_out,2,ridge_a001__gate_constant_025,constant,0.25,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gpt4_out,0,ridge_a001__gate_constant_075,constant,0.75,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gpt4_out,1,ridge_a001__gate_constant_075,constant,0.75,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_gpt4_out,2,ridge_a001__gate_constant_075,constant,0.75,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_llama3_out,0,ridge_a001__gate_constant_075,constant,0.75,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_llama3_out,1,ridge_a001__gate_constant_050,constant,0.5,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,counselbench,counselbench_overall_leave_llama3_out,2,ridge_a001__gate_constant_075,constant,0.75,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gpt4o_out,0,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gpt4o_out,1,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gpt4o_out,2,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gemini2_flash_out,0,ridge_a100__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gemini2_flash_out,1,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_gemini2_flash_out,2,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_o3_mini_high_out,0,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_o3_mini_high_out,1,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_o3_mini_high_out,2,huber_gbr_d2_n100_lr003__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_deepseek_r1_out,0,ridge_a100__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_deepseek_r1_out,1,ridge_a100__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
Historical-LOAO,retrospective exploratory study,rwanda,rwanda_overall11_leave_deepseek_r1_out,2,ridge_a100__gate_constant_100,constant,1.0,responder_equal_macro_row_mae_native
