setting,analysis_scope,panel,method,nSAE,nMAE,nRMSE,normalized_bias,centered_error_sd,predicted_mean_unit,true_mean_unit,n_seeds
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,A_DM,0.06547215626923181,0.16183349962001467,0.20334411247048867,-0.06547215626923181,0.19164980634913534,0.49852784373076825,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,CONTEXT,0.04053061986584166,0.16145122441675472,0.2021481644212946,0.04053061986584166,0.1976315690322442,0.6045306198658417,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,F4_SELECTED,0.03394054791102421,0.15017462490446776,0.19017819987343368,0.026151614882215252,0.18618447704712768,0.5901516148822153,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,F6_SELECTED,0.021270547527524702,0.14250398753743232,0.18282551170490083,0.021270547527524702,0.18110924492636396,0.5852705475275248,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,F7_SELECTED,0.022717913705307055,0.15614349418296405,0.19603260159108313,0.004456209594390504,0.19424505846122297,0.5684562095943905,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,counselbench,CSTAR_SELECTED,0.017963038384701827,0.13654874590101274,0.1705196558839884,0.017963038384701827,0.1689135836936144,0.5819630383847019,0.564,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,A_DM,0.05588057084598411,0.18922844329386437,0.2517437336430702,-0.05588057084598411,0.24539907766677369,0.7909662760008628,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,CONTEXT,0.013390688203165135,0.19488282659441789,0.2266754558376941,0.013390688203165135,0.22623502363644357,0.8602375350500119,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,F4_SELECTED,0.01870796732017432,0.19624730184427933,0.2264014314522711,0.01870796732017432,0.22557880599000116,0.865554814167021,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,F6_SELECTED,0.01814451137374237,0.19688993138358638,0.2263956947263673,0.01814451137374237,0.22565418247034494,0.8649913582205891,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,F7_SELECTED,0.010381522014034129,0.20021267810208454,0.2267154855847698,0.010381522014034129,0.2264372202048528,0.8572283688608809,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,psycsumeval,CSTAR_SELECTED,0.01932783511277429,0.1965670261848622,0.22681502696999012,0.01932783511277429,0.22597653408979657,0.8661746819596211,0.8468468468468467,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,A_DM,0.0031343119439266862,0.100356506063072,0.14396102452490564,-0.0031343119439266862,0.1439122641099402,0.8711245813367056,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,CONTEXT,0.02852004231748444,0.07376549733852211,0.13202522415297335,0.02852004231748444,0.12890624496052827,0.9027789355981168,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,F4_SELECTED,0.02852004231748599,0.07376549733852195,0.13202522415297374,0.02852004231748599,0.12890624496052835,0.9027789355981183,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,F6_SELECTED,0.02742903866507547,0.10999272295738786,0.14901787556839885,-0.02742903866507547,0.1463584668850628,0.8468298546155569,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,F7_SELECTED,0.009801640170268985,0.07752983782437545,0.1295734089846784,0.009801640170268985,0.12920022034079628,0.8840605334509014,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,rwanda,CSTAR_SELECTED,0.02852004231748599,0.07376549733852195,0.13202522415297374,0.02852004231748599,0.12890624496052835,0.9027789355981183,0.8742588932806324,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,A_DM,0.05454566833390112,0.19499858087946018,0.25242452545816607,-0.05454566833390112,0.2464534311032797,0.6508114745232417,0.7053571428571429,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,CONTEXT,0.0552616903373899,0.18355424042924554,0.23492412084779649,-0.0552616903373899,0.22829347971690106,0.650095452519753,0.7053571428571429,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,F4_SELECTED,0.05514488732649422,0.18364396048966627,0.2351031350971752,-0.05514488732649422,0.22850648016103958,0.6502122555306488,0.7053571428571429,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,F6_SELECTED,0.06296546349142226,0.1899323874182716,0.24058435134650416,-0.06296546349142226,0.23201798172595003,0.6423916793657205,0.7053571428571429,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,F7_SELECTED,0.054953224018872295,0.18457500388558265,0.23402819319260768,-0.054953224018872295,0.22744614169014923,0.6504039188382705,0.7053571428571429,3
Diagnostic-4P,retrospective fixed-responder diagnostic,warmth_substance,CSTAR_SELECTED,0.06296546349142226,0.1899323874182716,0.24058435134650416,-0.06296546349142226,0.23201798172595003,0.6423916793657205,0.7053571428571429,3
