setting,analysis_scope,candidate,panel,seed,source_cv_nSAE
Diagnostic-4P,retrospective fixed-responder diagnostic,F7__ridge_10.0,counselbench,0,0.0001378182597482458
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_1.0,counselbench,1,0.00043281489329597577
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__gbr_1,counselbench,2,0.00012412278009095722
Diagnostic-4P,retrospective fixed-responder diagnostic,F4__ridge_1.0,psycsumeval,0,0.00269986657553962
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_1.0,psycsumeval,1,0.0027949384187369217
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_1.0,psycsumeval,2,0.0012914910818813104
Diagnostic-4P,retrospective fixed-responder diagnostic,F4__ridge_1.0,rwanda,0,0.003225722233378487
Diagnostic-4P,retrospective fixed-responder diagnostic,F4__ridge_1.0,rwanda,1,0.0033310865104057685
Diagnostic-4P,retrospective fixed-responder diagnostic,F4__ridge_1.0,rwanda,2,0.003209112039644496
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_100.0,warmth_substance,0,0.0007074014358192837
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_10.0,warmth_substance,1,0.0014642776016249714
Diagnostic-4P,retrospective fixed-responder diagnostic,F6__ridge_10.0,warmth_substance,2,0.0010992231560312204
