setting,analysis_scope,method,panels,nSAE,nMAE,nRMSE,normalized_bias
Diagnostic-11P,retrospective fixed-responder diagnostic,GLOBAL_MEAN,11,0.06277029098109603,0.1790652170075746,0.2107455448739213,-0.04730538211598681
Diagnostic-11P,retrospective fixed-responder diagnostic,GLOBAL_MEDIAN,11,0.07013047142375554,0.16027842642290385,0.21423111100878447,-0.002795033626749507
Diagnostic-11P,retrospective fixed-responder diagnostic,ITEM_MEAN,11,0.06277029098109602,0.15395045177078123,0.1993230633086135,-0.04730538211598681
Diagnostic-11P,retrospective fixed-responder diagnostic,ITEM_MEDIAN,11,0.055394632302577435,0.14172694869130245,0.19796650446922345,-0.03997397087959624
Diagnostic-11P,retrospective fixed-responder diagnostic,OOF_CONSTANT,11,0.0610284627345459,0.15924797768536092,0.20234443408391528,-0.039794332179660975
Diagnostic-11P,retrospective fixed-responder diagnostic,CONTEXT,11,0.050731709071393766,0.14493710259372705,0.18313253612206484,-0.03483167074277883
Diagnostic-11P,retrospective fixed-responder diagnostic,PAIRDELTA,11,0.05104817722830113,0.1446855478475747,0.1899463686457978,-0.05023727590649985
Diagnostic-11P,retrospective fixed-responder diagnostic,C_NO_TARGET,11,0.0576512616020552,0.158215696922981,0.2002779354695571,-0.043577934585270046
Diagnostic-11P,retrospective fixed-responder diagnostic,C_SHUFFLE_0,11,0.06523436340049663,0.16143979057632676,0.19818721240230994,-0.037486747394758574
Diagnostic-11P,retrospective fixed-responder diagnostic,C_SHUFFLE_1,11,0.06510490929035316,0.1617406633267327,0.1976457802910433,-0.037657097653505535
Diagnostic-11P,retrospective fixed-responder diagnostic,C_SHUFFLE_2,11,0.06443010020421149,0.1612902890615107,0.19816566546068898,-0.03571747800644056
Diagnostic-11P,retrospective fixed-responder diagnostic,C_SHUFFLE_3,11,0.06444111770848422,0.1617622995424177,0.1983802424638106,-0.0369575393321948
Diagnostic-11P,retrospective fixed-responder diagnostic,C_SHUFFLE_4,11,0.06415791282639101,0.16364679511009084,0.20017628838602117,-0.03594537520138216
Diagnostic-11P,retrospective fixed-responder diagnostic,D_NO_TARGET,11,0.05901356150613437,0.1670313020296659,0.20975647981737608,-0.044462867157999394
Diagnostic-11P,retrospective fixed-responder diagnostic,D_SHUFFLE_0,11,0.07020688393717217,0.16999934938074124,0.21155756314391813,-0.044388613196680964
Diagnostic-11P,retrospective fixed-responder diagnostic,D_SHUFFLE_1,11,0.07053202339801429,0.17044480279831659,0.21216749161151965,-0.04430221132784478
Diagnostic-11P,retrospective fixed-responder diagnostic,D_SHUFFLE_2,11,0.06554693834785087,0.17007811632499414,0.21202388802472782,-0.040743104296447945
Diagnostic-11P,retrospective fixed-responder diagnostic,D_SHUFFLE_3,11,0.06915574295232428,0.16966382946533584,0.21184918410041959,-0.043829417334430326
Diagnostic-11P,retrospective fixed-responder diagnostic,D_SHUFFLE_4,11,0.06904884470431173,0.17073890249265242,0.21170558082066923,-0.04446808080324599
