setting,analysis_scope,panel_id,method,nSAE,nMAE,nRMSE,Bias,nBias,SAE,MAE,RMSE,value_native,role
Formal-12,retrospective fixed-target evaluation,counselbench,BERT lambda=0,0.05295969498979473,0.11223062725526516,0.13893489798219985,-0.2118387799591789,-0.05295969498979473,0.2118387799591789,0.4489225090210606,0.5557395919287994,4.074161220040821,auxiliary control
Formal-12,retrospective fixed-target evaluation,counselbench,DANN,0.06266997192521946,0.11572407570818942,0.1426209784845506,-0.25067988770087785,-0.06266997192521946,0.25067988770087785,0.4628963028327577,0.5704839139382024,4.0353201122991225,primary
Formal-12,retrospective fixed-target evaluation,counselbench,DM,0.09233315548672923,0.12649623692621245,0.1555501042858524,-0.3693326219469169,-0.09233315548672923,0.3693326219469169,0.5059849477048498,0.6222004171434096,3.916667378053083,primary
Formal-12,post-gold retrospective analysis,counselbench,SN-MIPS,0.14546913526131341,,,-0.5818765410452537,-0.14546913526131341,0.5818765410452537,,,3.7041234589547467,corrected primary
Formal-12,post-gold retrospective analysis,counselbench,SNDR,0.12627845527802092,0.14945763490568467,0.17871162527991247,-0.5051138211120837,-0.12627845527802092,0.5051138211120837,0.5978305396227387,0.7148465011196499,3.7808861788879162,corrected primary
Formal-12,retrospective fixed-target evaluation,counselbench,Source Mean,0.30966666666666665,0.3099033333333334,0.33212376374545144,-1.2386666666666666,-0.30966666666666665,1.2386666666666666,1.2396133333333337,1.3284950549818058,3.0473333333333334,primary
Formal-12,retrospective fixed-target evaluation,gbb_jme,BERT lambda=0,0.04713262364785827,0.24344602270076696,0.28271308565178344,-0.30814454257641666,-0.03423828250849074,0.42419361283072443,2.1910142043069025,2.5444177708660507,6.60852212409025,auxiliary control
Formal-12,retrospective fixed-target evaluation,gbb_jme,DANN,0.05158698877394844,0.2403004500895738,0.27766510297794295,-0.34190694915953107,-0.03798966101772568,0.46428289896553593,2.162704050806164,2.4989859268014865,6.574759717507135,primary
Formal-12,retrospective fixed-target evaluation,gbb_jme,DM,0.018987714868479128,0.20814088526440455,0.27433017319053693,-0.17088943381631216,-0.018987714868479128,0.17088943381631216,1.8732679673796409,2.468971558714832,6.745777232850354,primary
Formal-12,post-gold retrospective analysis,gbb_jme,SN-MIPS,0.05150835342499035,,,-0.4635751808249131,-0.05150835342499035,0.4635751808249131,,,6.453091485841753,corrected primary
