setting,analysis_scope,dataset,budget_label,budget_fraction_nominal,budget_fraction_actual,n_held_out_agents,agent_macro_n_total,agent_macro_n_selected,agent_macro_n_remainder,active_remainder_mae_seed_mean,active_remainder_bias_seed_mean,active_operational_mae_seed_mean,matched_dm_remainder_mae_seed_mean,update_delta_mae_seed_mean,random_operational_mae_seed_mean,acquisition_delta_operational_mae_seed_mean
Historical-LOAO-TargetLabels,retrospective exploratory study,counselbench,B00,0.0,0.0,3,100.0,0.0,100.0,0.5472523448361876,-0.2420266663114651,0.5472523448361876,0.5472523448361876,0.0,,
Historical-LOAO-TargetLabels,retrospective exploratory study,counselbench,B05,0.05,0.05,3,100.0,5.0,95.0,0.5315908390907257,-0.0242898986507287,0.5050112971361894,0.5343846105338943,-0.0027937714431686,0.5028756043964338,0.0021356927397555
Historical-LOAO-TargetLabels,retrospective exploratory study,counselbench,B10,0.1,0.1,3,100.0,10.0,90.0,0.5787416217261528,-0.0458421200148663,0.5208674595535375,0.519698254554388,0.0590433671717647,0.4605737409784118,0.0602937185751256
Historical-LOAO-TargetLabels,retrospective exploratory study,counselbench,B15,0.15,0.15,3,100.0,15.0,85.0,0.5184143684174339,0.0428422095382703,0.4406522131548188,0.5078396816933063,0.0105746867241276,0.4239173025303759,0.0167349106244429
Historical-LOAO-TargetLabels,retrospective exploratory study,counselbench,B18,0.18,0.18,3,100.0,18.0,82.0,0.5194063988260612,0.0533754878379161,0.4259132470373702,0.5024556621985475,0.0169507366275136,0.4026955383225364,0.0232177087148338
Historical-LOAO-TargetLabels,retrospective exploratory study,rwanda,B00,0.0,0.0,4,506.0,0.0,506.0,0.395944028813315,0.0501791757284627,0.395944028813315,0.395944028813315,0.0,,
Historical-LOAO-TargetLabels,retrospective exploratory study,rwanda,B05,0.05,0.0494071146245059,4,506.0,25.0,481.0,0.3825381202298615,0.0249134005325715,0.3636380154754217,0.3877177131622988,-0.0051795929324373,0.3478212347661155,0.0158167807093063
Historical-LOAO-TargetLabels,retrospective exploratory study,rwanda,B10,0.1,0.0988142292490118,4,506.0,50.0,456.0,0.4232370756940022,-0.0932441490046081,0.3814152302696938,0.3825220920011172,0.0407149836928851,0.3111133832793419,0.0703018469903518
Historical-LOAO-TargetLabels,retrospective exploratory study,rwanda,B15,0.15,0.1482213438735178,4,506.0,75.0,431.0,0.3962439193711963,-0.0867271355576153,0.3375121131402878,0.3746571139840322,0.0215868053871641,0.2857695360476351,0.0517425770926527
Historical-LOAO-TargetLabels,retrospective exploratory study,rwanda,B18,0.18,0.1798418972332015,4,506.0,91.0,415.0,0.3531200918076799,-0.039986620635227,0.2896143045458244,0.3682240668929278,-0.0151039750852479,0.2719300471917634,0.0176842573540609
